City,State,Date,Country,Attendance,Revenue
9,,STATE,Start-date-March,United States,date,2016
2,,STATE,End-date-July,United States,date,2017
Seattle,STATE,March-9-2016,United States,12227,1316780
Vancouver,STATE,March-11-2016,United States,14648,1337020
Portland,STATE,March-13-2016,United States,14146,1336071
Sacramento,STATE,March-15-2016,United States,13786,1311567
San,STATE,March-17-2016,United States,13508,1427847
Oakland,STATE,March-18-2016,United States,14828,1548782
Los,STATE,March-20-2016,United States,41445,4365483
Las,STATE,March-25-2016,United States,13483,1411304
Fresno,STATE,March-26-2016,United States,11874,1154574
San,STATE,March-29-2016,United States,11571,1120203
Glendale,STATE,March-30-2016,United States,13550,1319238
Salt,STATE,April-2-2016,United States,15115,1400612
Denver,STATE,April-4-2016,United States,13910,1457492
Kansas,STATE,April-6-2016,United States,13701,1277252
Tulsa,STATE,April-7-2016,United States,13231,1222177
Houston,STATE,April-9-2016,United States,12868,1407652
Dallas,STATE,April-10-2016,United States,14764,1563920
Atlanta,STATE,April-12-2016,United States,25717,2726349
St.,STATE,April-19-2016,United States,15450,1433791
Louisville,STATE,April-20-2016,United States,16496,1513138
Rosemont,STATE,April-22-2016,United States,28519,2952529
Auburn,STATE,April-25-2016,United States,14795,1538259
Cleveland,STATE,April-26-2016,United States,16028,1480206
Columbus,STATE,April-28-2016,United States,13919,1331983
Washington,,STATE,April-29-2016,United States,14917,1551880
Brooklyn,STATE,May-4-2016,United States,29470,3075262
Philadelphia,STATE,May-7-2016,United States,30535,3131498
Boston,STATE,May-10-2016,United States,28406,2962651
Ottawa,STATE,May-13-2016,United States,13697,1297390
Quebec,STATE,May-14-2016,United States,14014,1284730
Montreal,STATE,May-16-2016,United States,15956,1473300
Toronto,STATE,May-18-2016,United States,31482,2906010
Winnipeg,STATE,June-11-2016,United States,12228,1210850
Calgary,STATE,June-13-2016,United States,12944,1269300
Edmonton,STATE,June-14-2016,United States,13802,1319790
Saskatoon,STATE,June-16-2016,United States,12741,1179080
Fargo,STATE,June-18-2016,United States,12451,1177819
Minneapolis,STATE,June-19-2016,United States,14498,1514540
Lincoln,STATE,June-21-2016,United States,13048,1244748
Des,STATE,June-22-2016,United States,13086,1251093
Cincinnati,STATE,June-24-2016,United States,12522,1193105
Indianapolis,STATE,June-25-2016,United States,14403,1363344
Nashville,STATE,June-27-2016,United States,14051,1368341
Jacksonville,STATE,June-29-2016,United States,11590,1116384
Orlando,STATE,June-30-2016,United States,13282,1273025
Miami,STATE,July-2-2016,United States,27019,2836286
Greensboro,STATE,July-6-2016,United States,14832,1421008
Baltimore,STATE,July-7-2016,United States,13.325,1199139
Newark,STATE,July-9-2016,United States,13739,1475513
Hartford,STATE,July-10-2016,United States,11930,1169815
Buffalo,STATE,July-12-2016,United States,14424,1376691
Pittsburgh,STATE,July-13-2016,United States,14508,1353964
Atlantic,STATE,July-15-2016,United States,12829,1241152
New,STATE,July-18-2016,United States,29425,3340025
Staffordshire,STATE,August-21-2016[a],United States,2016[a],Park
Kópavogur,STATE,September-8-2016,United States,34893,5009776
Berlin,STATE,September-14-2016,United States,13314,1196419
Munich,STATE,September-16-2016,United States,13204,1275682
Cologne,STATE,September-18-2016,United States,16524,1395424
Paris,STATE,September-20-2016,United States,32179,2576668
