City,State,Date,Country,Attendance,Revenue
17,,STATE,Start-date-February,United States,date,2017
14,,STATE,End-date-December,United States,date,2017
Oslo,STATE,February-19-2017,United States,Oslo,Spektrum
Copenhagen,STATE,February-20-2017,United States,Copenhagen,Arena
Amsterdam,STATE,February-24-2017,United States,Lil,Tiller
Zürich,STATE,February-26-2017,United States,13873,1008470
Cologne,STATE,March-2-2017,United States,Cologne,Arena
Antwerp,STATE,March-3-2017,United States,20831,914547
Manchester,STATE,March-5-2017,United States,16100,744005
London,STATE,March-7-2017,United States,34637,1807250
Glasgow,STATE,March-10-2017,United States,12263,553377
Birmingham,STATE,March-13-2017,United States,2017,Arena
Leeds,STATE,March-14-2017,United States,Leeds,Arena
São,STATE,March-26-2017[b],United States,Brazil,Interlagos
Buenos,STATE,April-1-2017[b],United States,Hipódromo,Isidro
Santiago,STATE,April-2-2017[b],United States,Santiago,O'Higgins
Vancouver,STATE,April-25-2017,United States,15856,1554350
Seattle,STATE,April-26-2017,United States,13404,1096415
San,STATE,April-28-2017,United States,15399,1551572
Inglewood,STATE,April-29-2017,United States,32347,3372209
Phoenix,STATE,May-2-2017,United States,14967,1094045
Dallas,STATE,May-4-2017,United States,15889,1613233
Houston,STATE,May-6-2017,United States,13945,1596519
New,STATE,May-9-2017,United States,10872,829844
Sunrise,STATE,May-11-2017,United States,16144,1327407
Tampa,STATE,May-12-2017,United States,14563,1055378
Atlanta,STATE,May-13-2017,United States,15087,1372065
Charlotte,STATE,May-17-2017,United States,12497,943458
Washington,,STATE,May-18-2017,United States,14174,1404912
Atlantic,STATE,May-19-2017,United States,11717,1176090
Rosemont,STATE,May-23-2017,United States,13898,1408931
Auburn,STATE,May-24-2017,United States,13431,1172126
Toronto,STATE,May-26-2017,United States,30243,2661390
Montreal,STATE,May-30-2017,United States,16203,1439140
Uncasville,STATE,June-2-2017,United States,7455,951423
Uniondale,STATE,June-3-2017,United States,9907,989067
Newark,STATE,June-4-2017,United States,12548,1274769
Brooklyn,STATE,June-6-2017,United States,27862,2866237
Cincinnati,STATE,June-9-2017,United States,12855,1042569
Dover,STATE,June-17-2017[d],United States,Woodlands,Speedway
Roskilde,STATE,June-28-2017[f],United States,Roskilde,Fairgrounds
Gdynia,STATE,June-30-2017[g],United States,Gdynia,Airport
Helsinki,STATE,July-1-2017[h],United States,Helsinki,Puisto
Bergen,STATE,July-4-2017,United States,Bryson,—
Frauenfeld,STATE,July-7-2017[j],United States,Frauenfeld,Allmend
London,STATE,July-9-2017[k],United States,London,Park
Benicàssim,STATE,July-13-2017[l],United States,Benicàssim,Ahazar
Rathfarnham,STATE,July-15-2017[m],United States,Rathfarnham,Park
Paris,STATE,July-22-2017[n],United States,France,Longchamp
University,STATE,September-6-2017,United States,9434,620364
Toronto,STATE,September-9-2017,United States,15652,1579990
Boston,STATE,September-12-2017,United States,10446,1078385
Washington,,STATE,September-15-2017,United States,12136,1001633
Philadelphia,STATE,September-16-2017,United States,8781,715129
Columbus,STATE,September-19-2017,United States,9850,623740
Indianapolis,STATE,September-20-2017,United States,10853,702018
Saint,STATE,September-24-2017,United States,13243,1043627
Kansas,STATE,September-26-2017,United States,9439,746571
Lincoln,STATE,September-27-2017,United States,10442,661139
Denver,STATE,September-29-2017,United States,12671,1226637
Edmonton,STATE,October-2-2017,United States,French,—
Vancouver,STATE,October-5-2017,United States,14903,1423470
Portland,STATE,October-6-2017,United States,Gucci,—
Oakland,STATE,October-8-2017,United States,12065,1304635
Sacramento,STATE,October-11-2017,United States,14381,1263582
Anaheim,STATE,October-13-2017,United States,Honda,—
Las,STATE,October-14-2017,United States,12381,1065378
Houston,STATE,October-17-2017,United States,9624,853030
San,STATE,October-19-2017,United States,AT&T,—
Tulsa,STATE,October-21-2017,United States,BOK,—
Miami,STATE,October-24-2017,United States,Airlines,—
Columbia,STATE,October-28-2017,United States,Gucci,—
Nashville,STATE,October-29-2017,United States,15987,1184120
Detroit,STATE,November-1-2017,United States,Caesars,—
Chicago,STATE,November-2-2017,United States,United,—
Auckland,STATE,November-29-2017,United States,French,—
Sydney,STATE,December-2-2017,United States,32881,3051370
Brisbane,STATE,December-6-2017,United States,11431,1062510
Melbourne,STATE,December-8-2017,United States,26539,2511580
Adelaide,STATE,December-11-2017,United States,Entertainment,—
Perth,STATE,December-14-2017,United States,10737,944664
Quebec,STATE,May-31-2017,United States,Vidéotron,poisoning[31]
