City,State,Date,Country,Attendance,Revenue
Austin,STATE,July-20-2016,United States,11318,1470583
Dallas,STATE,July-21-2016,United States,12605,1563490
Kansas,STATE,July-23-2016,United States,12983,1180862
Saint,STATE,July-24-2016,United States,13624,1346114
Chicago,STATE,July-26-2016,United States,27037,3214405
Auburn,STATE,July-28-2016,United States,12325,1308351
Toronto,STATE,July-31-2016,United States,30070,2686110
New,STATE,August-4-2016,United States,58085,6804352
Boston,STATE,August-10-2016,United States,13490,1463377
Buffalo,STATE,August-12-2016,United States,13547,1540131
Columbus,STATE,August-13-2016,United States,13986,1510033
Nashville,STATE,August-14-2016,United States,15931,1410223
Detroit,STATE,August-16-2016,United States,14891,1504752
Pittsburgh,STATE,August-17-2016,United States,13622,1351855
Washington,,STATE,August-19-2016,United States,27663,3259446
Philadelphia,STATE,August-21-2016,United States,13402,1752511
Greensboro,STATE,August-23-2016,United States,13720,1304350
Atlanta,STATE,August-25-2016,United States,28864,3106599
Tampa,STATE,August-27-2016,United States,13337,1401166
Miami,STATE,August-30-2016,United States,26608,3282545
New,STATE,September-2-2016,United States,13241,1243871
Houston,STATE,September-3-2016,United States,24507,3352284
Phoenix,STATE,September-6-2016,United States,12084,1310117
Los,STATE,September-7-2016,United States,40155,4809979
Las,STATE,September-11-2016,United States,15142,2089942
Oakland,STATE,September-13-2016,United States,24956,3294596
Tacoma,STATE,September-16-2016,United States,18120,1748350
Edmonton,STATE,September-20-2016,United States,2016,Place
San,STATE,September-24-2016,United States,25817,3099176
Inglewood,STATE,September-27-2016,United States,42316,4545367
Des,STATE,October-4-2016,United States,Moines,Arena
Chicago,STATE,October-5-2016,United States,2016,Center
Montreal,STATE,October-7-2016,United States,15731,1722100
Toronto,STATE,October-8-2016,United States,15485,1561900
Toronto,STATE,October-9-2016,United States,Centre,injury[12]
Brooklyn,STATE,October-11-2016,United States,United,Center
Philadelphia,STATE,October-13-2016,United States,Philadelphia,Center
Newark,STATE,October-15-2016,United States,2016,Center
