City,State,Date,Country,Attendance,Revenue
7,,STATE,Start-date-July,United States,date,2017
30,,STATE,End-date-July,United States,date,2018
Glendale,STATE,July-12-2017,United States,12986,1050060
Dallas,STATE,July-14-2017,United States,13362,1352113
Houston,STATE,July-15-2017,United States,11441,1249664
Duluth,STATE,July-17-2017,United States,9846,943090
Philadelphia,STATE,July-19-2017,United States,13513,1330647
Brooklyn,STATE,July-20-2017,United States,28174,3074047[b]
Washington,,STATE,July-21-2017,United States,12944,1375048
Boston,STATE,July-22-2017,United States,12773,1400540
Brooklyn,STATE,July-23-2017,United States,Barclays,[b]
Toronto,STATE,July-25-2017,United States,26473,2599580[c]
Auburn,STATE,July-26-2017,United States,13070,1301448
Chicago,STATE,July-27-2017,United States,24727,2415331[d]
Denver,STATE,July-29-2017,United States,13140,1154190
Tacoma,STATE,August-1-2017,United States,18590,1278663
Vancouver,STATE,August-2-2017,United States,13938,1228590
Oakland,STATE,August-4-2017,United States,14179,1373996
Las,STATE,August-5-2017,United States,14499,1439417
Los,STATE,August-6-2017,United States,40425,3847175
Anaheim,STATE,August-11-2017,United States,12275,1181276
San,STATE,August-12-2017,United States,12713,1239832
Sacramento,STATE,August-13-2017,United States,11191,896190
Kansas,STATE,August-16-2017,United States,10560,728344
Lincoln,STATE,August-18-2017,United States,11140,677964
Saint,STATE,August-19-2017,United States,14458,1079941
Chicago,STATE,August-20-2017,United States,United,[d]
Columbus,STATE,August-22-2017,United States,11423,802906
Toronto,STATE,August-23-2017,United States,Canada,[c]
Montreal,STATE,August-24-2017,United States,10769,930271
Newark,STATE,August-25-2017,United States,10314,887745
Charlotte,STATE,August-29-2017,United States,10591,686960
Nashville,STATE,August-30-2017,United States,15206,949292
Tampa,STATE,September-1-2017,United States,12103,834155
Miami,STATE,September-2-2017,United States,12256,1140921
Birmingham,STATE,February-9-2018,United States,Birmingham,Arena
Manchester,STATE,February-10-2018,United States,14485,1408370
Glasgow,STATE,February-11-2018,United States,11854,1089330
London,STATE,February-12-2018,United States,34877,3284010
London,STATE,February-20-2018,United States,10049,996903
Amsterdam,STATE,February-23-2018,United States,Amsterdam,Dome
Paris,STATE,February-25-2018,United States,Paris,Arena
Antwerp,STATE,February-27-2018,United States,2018,Sportpaleis
Copenhagen,STATE,March-1-2018,United States,Copenhagen,Arena
Oslo,STATE,March-2-2018,United States,Oslo,Arena
Stockholm,STATE,March-3-2018,United States,Stockholm,Globe
Berlin,STATE,March-5-2018,United States,13977,1093940
Perth,STATE,July-10-2018,United States,13988,1588770
Melbourne,STATE,July-13-2018,United States,Laver,—
Adelaide,STATE,July-15-2018,United States,Entertainment,—
Dunedin,STATE,July-17-2018,United States,Barr,—
Auckland,STATE,July-19-2018,United States,Spark,—
Sydney,STATE,July-24-2018,United States,Bank,—
Seoul,STATE,July-30-2018,United States,Auxiliary,—
