City,State,Date,Country,Attendance,Revenue
Miami,STATE,April-27-2016,United States,36656,5252615
Tampa,STATE,April-29-2016,United States,40818,4803295
Atlanta,STATE,May-1-2016,United States,46321,5801725
Raleigh,STATE,May-3-2016,United States,38292,4810620
Houston,STATE,May-7-2016,United States,43871,6412280
Arlington,STATE,May-9-2016,United States,42235,5954775
San,STATE,May-12-2016,United States,45885,6028115
Pasadena,STATE,May-14-2016,United States,55736,7138685
Santa,STATE,May-16-2016,United States,44252,6201845
Seattle,STATE,May-18-2016,United States,46529,5415810
Minneapolis,STATE,May-23-2016,United States,37203,4174270
Toronto,STATE,May-25-2016,United States,45009,4440554
Chicago,STATE,May-27-2016,United States,89270,11279890
DJ,STATE,May-28-2016,United States,28,Scratch
Pittsburgh,STATE,May-31-2016,United States,36325,3927805
Foxborough,STATE,June-3-2016,United States,48304,6008698
Philadelphia,STATE,June-5-2016,United States,47223,5563435
New,STATE,June-7-2016,United States,73486,11461340
Baltimore,STATE,June-10-2016,United States,47819,5770660
Hershey,STATE,June-12-2016,United States,26662,3474695
Detroit,STATE,June-14-2016[a],United States,41524,5471395
Sunderland,STATE,June-28-2016,United States,48952,4996960
Cardiff,STATE,June-30-2016,United States,49215,5379199
London,STATE,July-2-2016,United States,142500,15301688
Manchester,STATE,July-5-2016,United States,49935,5159998
Glasgow,STATE,July-7-2016,United States,46058,4707580
Dublin,STATE,July-9-2016,United States,68575,7449942
Düsseldorf,STATE,July-12-2016,United States,34481,3464861
Zürich,STATE,July-14-2016,United States,23790,2980051
Amsterdam,STATE,July-16-2016,United States,49436,4712051
Milan,STATE,July-18-2016,United States,54313,4744732
Paris,STATE,July-21-2016,United States,75106,6258954
Copenhagen,STATE,July-24-2016,United States,45197,4626103
Stockholm,STATE,July-26-2016,United States,48519,3937498
Frankfurt,STATE,July-29-2016,United States,36647,3739440
Brussels,STATE,July-31-2016,United States,48955,4681095
Barcelona,STATE,August-3-2016,United States,45346,4806995
St.,STATE,September-10-2016,United States,38256,3953445
Los,STATE,September-14-2016,United States,47440,6736700
Santa,STATE,September-17-2016,United States,44015,4898690
Houston,STATE,September-22-2016,United States,42635,5107065
New,STATE,September-24-2016,United States,46474,5349960
Atlanta,STATE,September-26-2016,United States,45126,5374615
Philadelphia,STATE,September-29-2016,United States,44693,3353627
Nashville,STATE,October-2-2016[b],United States,43013,5182345
East,STATE,October-7-2016[c],United States,50703,6064625
